2026-06-04 17:24:15,399 | ERROR | Dummy-10 | 🚀 PIPELINE START worker 2 | 906452376
2026-06-04 17:24:15,399 | ERROR | MainThread | 🚀 Worker 3 iniciou processo 906452341
2026-06-04 17:24:15,399 | ERROR | Dummy-10 | LOGIN 1
2026-06-04 17:24:15,399 | ERROR | MainThread | 🧵 Worker thread START 3
2026-06-04 17:24:15,399 | ERROR | Dummy-10 | GARANTIR LOGIN INICIO
2026-06-04 17:24:15,399 | ERROR | Dummy-9 | ANTES DO FINDELEMENT
2026-06-04 17:24:15,399 | ERROR | Dummy-9 | LOGIN 2
2026-06-04 17:24:15,400 | ERROR | Dummy-10 | <selenium.webdriver.chrome.webdriver.WebDriver (session="a4e3d639cec1898533a8fc4b036a2bb4")>
2026-06-04 17:24:15,401 | ERROR | Dummy-11 | 🚀 Worker 3 iniciando
2026-06-04 17:24:15,402 | ERROR | Dummy-11 | 🚀 PIPELINE START worker 3 | 906452341
2026-06-04 17:24:15,402 | ERROR | Dummy-10 | a4e3d639cec1898533a8fc4b036a2bb4
2026-06-04 17:24:15,402 | ERROR | Dummy-11 | LOGIN 1
2026-06-04 17:24:15,402 | ERROR | Dummy-10 | ANTES DO FINDELEMENT
2026-06-04 17:24:15,403 | ERROR | Dummy-11 | GARANTIR LOGIN INICIO
2026-06-04 17:24:15,403 | ERROR | Dummy-10 | LOGIN 2
2026-06-04 17:24:15,403 | ERROR | Dummy-11 | <selenium.webdriver.chrome.webdriver.WebDriver (session="8f9b61685decd8b37bcfa77ac90bcaf5")>
2026-06-04 17:24:15,404 | ERROR | Dummy-11 | 8f9b61685decd8b37bcfa77ac90bcaf5
2026-06-04 17:24:15,405 | ERROR | Dummy-11 | ANTES DO FINDELEMENT
2026-06-04 17:24:15,405 | ERROR | Dummy-11 | LOGIN 2
2026-06-04 17:24:15,566 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:15,606 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:16,457 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:16,499 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:17,339 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:17,372 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:18,220 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:18,257 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:19,096 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:19,142 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:19,985 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:20,029 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:20,571 | ERROR | Dummy-11 | 🔐 Usuário não está na página correta. Garantindo login...
2026-06-04 17:24:20,572 | ERROR | Dummy-9 | 🔐 Usuário não está na página correta. Garantindo login...
2026-06-04 17:24:20,596 | ERROR | Dummy-10 | 🔐 Usuário não está na página correta. Garantindo login...
2026-06-04 17:24:20,874 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:20,926 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:21,774 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:21,817 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:22,658 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:22,709 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:23,544 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:23,590 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:24,194 | ERROR | Dummy-11 | LOGIN 3
2026-06-04 17:24:24,235 | ERROR | Dummy-11 | 🔑 Login realizado. Acessando menu Marcas...
2026-06-04 17:24:24,244 | ERROR | Dummy-9 | LOGIN 3
2026-06-04 17:24:24,258 | ERROR | Dummy-10 | LOGIN 3
2026-06-04 17:24:24,291 | ERROR | Dummy-9 | 🔑 Login realizado. Acessando menu Marcas...
2026-06-04 17:24:24,307 | ERROR | Dummy-10 | 🔑 Login realizado. Acessando menu Marcas...
2026-06-04 17:24:24,480 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:24,544 | ERROR | Dummy-11 | ✅ Página de pesquisa por processo carregada com sucesso.
2026-06-04 17:24:24,557 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:24,617 | WARNING | Dummy-10 | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2026-06-04 17:24:24,617 | ERROR | Dummy-10 | ✅ Página de pesquisa por processo carregada com sucesso.
2026-06-04 17:24:24,700 | WARNING | Dummy-11 | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2026-06-04 17:24:25,414 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:25,497 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:26,352 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:26,406 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:26,430 | ERROR | Dummy-9 | Traceback (most recent call last):
  File "E:\busca inpi\busca inpi\inpi_busca_codigo_limpo\core\login_manager.py", line 108, in garantir_login
    menu_marcas = wait_element(
        self,
    ...<5 lines>...
        timeout=WAIT_MEDIUM
    )
  File "E:\busca inpi\busca inpi\inpi_busca_codigo_limpo\core\network_utils.py", line 39, in wait_element
    return WebDriverWait(driver, timeout).until(
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^
        EC.presence_of_element_located(locator)
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "E:\busca inpi\busca inpi\inpi_busca_codigo_limpo\venv\Lib\site-packages\selenium\webdriver\support\wait.py", line 121, in until
    raise TimeoutException(message, screen, stacktrace)
selenium.common.exceptions.TimeoutException: Message: 
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff6b78b33f5+14875]
	chromedriver!GetHandleVerifier [0x7ff6b78b3450+148d0]
